log10_accretion_rate abundances-ratio HeH-ratio
-9.418603437502744313e+00 -8.127698651614050362e-01 6.266264806658872200e-02
-9.397137502222687289e+00 -6.570950200979783773e-01 1.046429067903578564e-01
-9.392313647097287443e+00 -6.920401021762545568e-01 1.255483243022705864e-01
-9.419613734592511278e+00 -8.529725260852147883e-01 4.066722217778069581e-02
-9.390150773583876287e+00 -4.816923759443749731e-01 -5.372782932203300915e-02
-9.388982566649195505e+00 -4.554055777213106282e-01 -3.747108485438896408e-03
-9.411158492774999829e+00 -5.566585357944875412e-01 8.511005770156988837e-02
-9.405778202353900497e+00 -5.510090182026736727e-01 5.480852916416331655e-02
-9.399665609825692769e+00 -3.915585074969341051e-01 -1.098513464479607404e-01
-9.401301579818833076e+00 -5.314681725541676727e-01 8.700846987357137297e-02
-9.396633442648278489e+00 -5.400527634200358307e-01 -6.164561873563595418e-03
-9.407493699650865793e+00 -5.780943365894257724e-01 8.423323030323469351e-03
-9.401118766667684312e+00 -5.740442721216849620e-01 -1.579081695963957810e-01
-9.379580240837217531e+00 -4.658396415152505909e-01 3.056716702819146925e-02
-9.385261526983992297e+00 -3.985005304926518832e-01 7.728964598458674951e-02
-9.358930120897444027e+00 -4.788320021983150099e-01 -1.118435558350980435e-01
-9.395106505454334567e+00 -4.897749413183500877e-01 3.007763729021153271e-02
-9.400667901148962002e+00 -7.300121717091014872e-01 5.809194828142691391e-02
-9.400572519229427826e+00 -6.405524017076382748e-01 -1.063483127760839891e-01
-9.369012639307378265e+00 -8.619510707790349890e-01 4.649853756896136364e-02
-9.390133963985531906e+00 -6.347459278716769404e-01 -2.562351864207702834e-02
-9.405787893249831555e+00 -5.078994101446481224e-01 -1.999944898471305715e-02
