log10_accretion_rate abundances-ratio HeH-ratio
-9.658137225251397950e+00 -7.173546449214418530e-01 -1.272461223459095403e-02
-9.687753278016289826e+00 -5.468432608706654818e-01 4.529751815908221457e-02
-9.711445663035258136e+00 -3.680487508898426796e-01 -2.103803131111725566e-02
-9.655587729308003020e+00 -8.043398972532411761e-01 1.443419296918362627e-01
-9.677065549794505728e+00 -5.293884739257066485e-01 1.175669213447749217e-01
-9.710316529029066501e+00 -4.607097351310196487e-01 8.619423841297542410e-02
-9.718575142164981528e+00 -5.070060290503048961e-01 2.371062943757756142e-02
-9.711763984513535064e+00 -5.359625399209795305e-01 1.222709659043405700e-01
-9.636741948851373252e+00 -6.352792327998386668e-01 -8.209932360262958695e-02
-9.672036275511343817e+00 -4.438804833132907746e-01 1.281294509924522929e-02
-9.639637883034007260e+00 -7.843931311587644117e-01 -3.450088803917615576e-02
-9.678791497889253748e+00 -5.117222633076181637e-01 -2.242796552753834050e-03
-9.656291136595676505e+00 -4.746250565354639406e-01 4.835319387372193078e-02
-9.676583095994532258e+00 -5.914554433029453051e-01 -1.372031423567116742e-02
-9.689051365078563904e+00 -3.607307023807821977e-01 -1.421891559164843444e-01
-9.650092544789037774e+00 -5.185833956761718433e-01 -2.400057865990204431e-02
-9.690488465585691102e+00 -6.317926378835165835e-01 7.089454716991790140e-02
-9.691598378291470084e+00 -4.162266470761544213e-01 2.209223206090871888e-02
-9.662604743925616191e+00 -6.497556399194541754e-01 2.777696795326187740e-01
-9.609299200398922380e+00 -6.978263993475417593e-01 8.725581305191749959e-02
-9.634238403206342838e+00 -5.528336585299795658e-01 2.731651741888768692e-02
-9.695988570724800582e+00 -5.510494336122695458e-01 -2.792183602746248217e-02
-9.671277891866692400e+00 -5.729836535285501853e-01 5.198552441262002666e-02
-9.566551284666090282e+00 -6.855096900024397755e-01 -3.920399484229052378e-01
-9.674048663686498628e+00 -2.241375287244613546e-01 -7.139351513941830096e-02
-9.655688983247511459e+00 -4.052009505858817917e-01 5.137032716617036254e-02
-9.609273639839713610e+00 -5.598373072429092545e-01 2.436643319099417865e-02
-9.663258782588014739e+00 -5.919785079337600564e-01 7.744352146349317567e-02
-9.616056231145124755e+00 -7.014370984495581496e-01 1.115940226346690822e-01
-9.607980767061478744e+00 -3.584837581623245839e-01 7.404491864781534427e-02
-9.653813441974598675e+00 -4.688602400292252170e-01 2.049621243217656097e-01
-9.658524743884244756e+00 -5.418677509435125828e-01 1.560616205004795587e-01
